livelihood_zone_corrected,livelihood_system,year,season,rcsi,fcs,hhs,debt_level,herd_size,crop_production,cmb,conflict_fatalities,conflict_incidents,goat_price,ndvi,rainfall,rice_price,river_level,sorghum_price,water_price,cmb_lag1,cmb_lag2,cmb_lag3,cmb_lag4,cmb_lag5,cmb_lag6,conflict_fatalities_lag1,conflict_fatalities_lag2,conflict_fatalities_lag3,conflict_fatalities_lag4,conflict_fatalities_lag5,conflict_fatalities_lag6,conflict_incidents_lag1,conflict_incidents_lag2,conflict_incidents_lag3,conflict_incidents_lag4,conflict_incidents_lag5,conflict_incidents_lag6,goat_price_lag1,goat_price_lag2,goat_price_lag3,goat_price_lag4,goat_price_lag5,goat_price_lag6,ndvi_lag1,ndvi_lag2,ndvi_lag3,ndvi_lag4,ndvi_lag5,ndvi_lag6,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_lag4,rainfall_lag5,rainfall_lag6,rice_price_lag1,rice_price_lag2,rice_price_lag3,rice_price_lag4,rice_price_lag5,rice_price_lag6,river_level_lag1,river_level_lag2,river_level_lag3,river_level_lag4,river_level_lag5,river_level_lag6,sorghum_price_lag1,sorghum_price_lag2,sorghum_price_lag3,sorghum_price_lag4,sorghum_price_lag5,sorghum_price_lag6,water_price_lag1,water_price_lag2,water_price_lag3,water_price_lag4,water_price_lag5,water_price_lag6,river_level_available,river_level_lag1_available,river_level_lag2_available,river_level_lag3_available,river_level_lag4_available,river_level_lag5_available,river_level_lag6_available,crop_production_available,herd_size_available
Addun Pastoral,Pastoral,2016,Deyr,4.1,52.8,0.5,345.7142857,44,0,3781154.167,37.75,8,1226666.667,0.296,4.088,21666.66667,0,15583.33333,21666.66667,3390083.333,3379791.667,3423683.333,3442083.333,3258166.667,3241916.667,30.25,29,24,5.666666667,12,9.25,9.5,7,3,3,4.75,5,1239333.333,1233333.333,1087500,1122500,1170625,1165625,0.278,0.222,0.214,0.22,0.272,0.314,16.28,1.926,0.982,2.212,1.868,63.03,19733.33333,18666.66667,18800,17812.5,17000,16650,0,0,0,0,0,0,13333.33333,13333.33333,17000,16750,15875,17250,21666.66667,21666.66667,26875,25000,23750,23750,0,0,0,0,0,0,0,0,1
Bay Agropastoral,Agropastoral,2016,Deyr,5.9,47.2,2.3,44.43201174,13.28571429,7082,2153479.167,3,5.5,942500,0.595,44.5075,17583.33333,0,7075,24166.66667,2092500,2081083.333,2022616.667,1962500,1915333.333,1710166.667,14.75,8.666666667,8.75,6.75,14,6,4.5,3,3.75,3.75,3.75,2.75,1042500,975000,1025500,1002812.5,994375,1027000,0.47,0.4,0.43,0.45,0.5925,0.68,26.7725,6.905,10.7675,13.44,23.6175,63.265,20250,20833.33333,19200,16812.5,15500,15400,0,0,0,0,0,0,5475,5616.666667,5100,5206.25,5075,3455,26666.66667,26666.66667,25750,23750,22500,23000,0,0,0,0,0,0,0,1,1
Central/NE Hawd Pastoral,Pastoral,2016,Deyr,4.2,53.9,0.8,316.0294118,52,0,3598487.5,10,4.5,1200000,0.2875,3.48,20250,0,17500,15000,3225900,3131250,3137450,3333500,2400250,2377250,2.666666667,6,3.5,2.5,4,3,2,3,2,2.5,2,2.5,1200000,1200000,1131875,1135000,1188750,1193750,0.275,0.22,0.215,0.2225,0.28,0.3225,19.955,3.3875,1.5375,1.125,1.82,64.075,21000,20000,18750,18500,18500,18500,0,0,0,0,0,0,14800,14000,19500,19500,14750,16200,15000,15000,25000,25000,25000,28750,0,0,0,0,0,0,0,0,1
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2016,Deyr,4,57.3,0.5,241,0,0,3414079.167,2,3,966666.6667,0.375,16.28,22916.66667,0,10875,26166.66667,3275700,4077250,4016733.333,4123916.667,3979366.667,3999006.667,1,4,0,1.5,2.25,10.5,2,1.5,1,1.5,1,2.5,933333.3333,929166.6667,922500,900000,900000,1073750,0.3025,0.2425,0.2475,0.2675,0.3525,0.3875,28.36,2.0275,10.7,19.1925,6.7375,53.6375,23000,23666.66667,21000,21625,19250,20250,0,0,0,0,0,0,10500,19250,15333.33333,15333.33333,14333.33333,16266.66667,15666.66667,34000,33000,36750,43000,25500,0,0,0,0,0,0,0,0,1
Gedo Pastoral,Pastoral,2016,Deyr,3.7,47.5,0.5,43.5129239,36.24,0,3118356.667,4,1,654444.3333,0.395,29.3275,19000,3.96,13333.33333,17333.33333,3116150,2977333.333,2890066.667,2881239.583,2896364.583,2941475,0.666666667,7.333333333,3,9.333333333,4,3.75,2,2,2,1.333333333,2.75,1.75,796000,857500,810000,751250,794375,788750,0.3225,0.2975,0.305,0.29,0.3925,0.5375,15.7,2.6825,3.565,3.965,3.52,26.445,19000,18250,19000,18750,19250,18525,2.5,2.5,2.33,2.1,3.04,4.26,12466.66667,12416.66667,12000,12093.75,12125,11333.33333,17333.33333,17000,20250,20250,20250,21500,0,0,0,0,0,0,0,0,1
Gedo Riverine,Riverine,2016,Deyr,2.7,47.1,0.7,60.43227492,0,1766,2354750,0.5,2.5,750000,0.475,57.365,18000,6.28,11000,8000,2251750,1988750,1945600,1929000,2004250,2000500,12.5,2.5,7,0,20.5,6.5,5,3,4.5,1,3,4.5,766000,902500,902000,790000,737500,750000,0.375,0.34,0.37,0.35,0.45,0.58,20.185,4.72,5.545,8.24,6.585,33.315,18000,15000,15400,16000,16000,16000,4.76,4.86,5.12,4.2,5.68,9,9800,7500,7300,7000,7500,7500,8000,8000,8000,8000,7750,7800,1,1,1,1,1,1,1,1,0
Guban Pastoral,Pastoral,2016,Deyr,15.2,33.6,1.5,124.0833333,23.91666667,0,954475,5,1.75,281000,0.155,23.9,7000,0,6000,4500,947275,1018587.5,1022150,957225,909725,910350,0,0.5,0,1,0,0.5,1,1,2,1,1,1,281000,281250,277375,265000,265000,260000,0.13,0.13,0.13,0.125,0.135,0.15,11.675,5.76,8.24,8.235,0.845,15.07,7000,7000,6500,6000,6250,6250,0,0,0,0,0,0,6000,6000,5500,5700,5375,5375,4500,4500,4750,4750,4750,4750,0,0,0,0,0,0,0,0,1
NE Northern Inland Pastoral,Pastoral,2016,Deyr,6.5,51.8,1.5,119.0064103,42.03125,0,4470562.5,1,2.5,1141250,0.186666667,3.366666667,17750,0,27500,17000,4387875,4298862.5,4329062.5,4268531.25,4257062.5,4386922.5,3,2,1,5,1.5,1.5,4,2,3,4,2.5,3,1246250,1311250,1210000,1163750,1175000,1113750,0.176666667,0.156666667,0.15,0.15,0.163333333,0.176666667,12.79333333,3.58,1.853333333,0.263333333,1.886666667,35.22333333,17500,17500,17250,16875,16250,16000,0,0,0,0,0,0,26000,26000,26500,25500,22500,22500,17000,17000,17000,18250,25750,35000,0,0,0,0,0,0,0,0,1
NW Agropastoral,Agropastoral,2016,Deyr,4,38.3,0.2,233.7179487,7,37515,1019180,0,1,333125,0.265,18.855,5250,0,3400,8000,1017720,1015170,1025850,1028162,1000105,1010600,0,0,1,0,0,0,2,1,2,1,1,3,295625,313875,309375,337000,318437.5,290000,0.29,0.315,0.315,0.265,0.31,0.36,11.58,31.88,48.665,35.785,13.015,54.53,5000,4679,4525,4850,4750,4750,0,0,0,0,0,0,3550,3500,3250,3600,3250,3175,8000,7250,7250,7250,7000,9500,0,0,0,0,0,0,0,1,1
NW Hawd Pastoral,Pastoral,2016,Deyr,5.4,30.5,1,353.3333333,39.4375,0,1162705,2,3,285000,0.256666667,3.75,5000,0,4500,5000,1097955,1105500,1073875,1072937.5,1069370,1049750,5,1,0,1,4,0.5,1.5,2,2,1.5,2.333333333,2.5,255000,285000,290000,292500,317500,352500,0.273333333,0.226666667,0.206666667,0.216666667,0.28,0.326666667,22.92666667,13.19,9.11,5.11,7.173333333,65.43666667,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,4500,4500,4000,4000,4000,4000,5000,6000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,1
NW Northern Inland Pastoral,Pastoral,2016,Deyr,8.1,23.4,1.5,252.0930233,23.69767442,0,5358209.75,7,8,1050000,0.191666667,2.376666667,14167,0,5000,90000,5090750,5092625,5049750,4875750,4648750,4537575,0,2,2,2,12,0.5,1.5,2,2.666666667,2,4,2,1250000,1237500,1047500,960833.3333,964166.6667,981666.6667,0.191666667,0.166666667,0.158333333,0.16,0.191666667,0.213333333,20.61666667,7.433333333,2.018333333,1.518333333,6.845,39.38,15000,14500,15416.66667,15500,15333.33333,15433.33333,0,0,0,0,0,0,5000,5500,18500,18875,15475,17750,65000,77500,60916.66667,52916.66667,41666.66667,46666.66667,0,0,0,0,0,0,0,0,1
Shabelle Agropastoral,Agropastoral,2016,Deyr,4.1,75.6,0.5,191.648714,35,4726,1856345.5,25,8.666666667,1275000,0.4375,41.905,12000,0,7834,22500,1811730.5,1717733,1669108,1696245,1709245,1649562.5,34,34,9.333333333,24,12,14,13,12.5,6.666666667,4.75,4.5,11.5,1225000,1675000,1096875,1093750,1093750,1365625,0.35,0.3675,0.415,0.475,0.51,0.4925,27.075,5.3125,14.4325,18.2475,37.0925,72.4425,12500,12500,13500,13687.5,13750,13500,0,0,0,0,0,0,6277.5,6334,6333.5,7204,7541.5,6333.25,20000,13333.33333,13333.33333,13333.33333,16666.66667,13333.33333,0,0,0,0,0,0,0,1,1
Shabelle Riverine,Riverine,2016,Deyr,3,73.1,0.1,191.648714,0,13756,1883125,17.66666667,9.666666667,1183750,0.586,46.288,13500,4.15,7750,15500,1823500,1823000,1827500,1908635,1884335,1875895,28.33333333,14,8.75,10.33333333,22,20,12.33333333,6,3.5,7.666666667,8.25,6,1156666.5,1167500,1446875,1451250,1390625,1565625,0.448,0.462,0.518,0.564,0.61,0.614,26.794,7.37,16.98,20.542,46.516,70.864,13500,13500,14250,14500,14500,14375,3.6,4.05,3.45,3.2,4.48,5.3,6750,6625,7025,7129,7191.5,6933,15500,20000,20625,20687.5,20687.5,21750,1,1,1,1,1,1,1,1,0
West Golis Pastoral,Pastoral,2016,Deyr,4.5,35.8,0.2,142.9166667,33.625,0,1093177.5,0,2,365000,0.22,7.2175,5000,0,4000,9000,1090302.5,1071112.5,1072325,1069087.5,1034097.5,1096237.5,0,0,0,0,0,0.5,3,2,2.5,1.666666667,1.333333333,1.5,332500,330000,342500,307500,300000,320000,0.215,0.19,0.175,0.17,0.2,0.24,18.4025,13.645,18.2425,11.235,7.84,41.8325,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,4000,4000,4000,4000,4000,4000,9000,9000,9000,9000,9000,9000,0,0,0,0,0,0,0,0,1
Addun Pastoral,Pastoral,2016,Gu,2,65.8,0.5,160,52.14285714,0,3442083.333,5.666666667,3,1122500,0.22,2.212,17812.5,0,16750,25000,3258166.667,3241916.667,3289583.333,3304000,3279733.333,3094458.333,12,9.25,25.75,15,11.25,5.333333333,4.75,5,4,5,1.5,3,1170625,1165625,1111875,1018750,966000,1073750,0.272,0.314,0.272,0.236,0.25,0.29,1.868,63.03,42.272,4.846,0.738,1.61,17000,16650,16875,16750,17450,17125,0,0,0,0,0,0,15875,17250,17000,16000,15800,13875,23750,23750,25625,23750,23750,23750,0,0,0,0,0,0,0,0,1
Bay Agropastoral,Agropastoral,2016,Gu,2.3,67.5,0.1,49,15.92857143,17173,1962500,6.75,3.75,1002812.5,0.45,13.44,16812.5,0,5206.25,23750,1915333.333,1710166.667,1782025,1711936.667,1682266.667,1811083.333,14,6,8.5,3.75,21.66666667,16.66666667,3.75,2.75,4.25,3.5,6,5,994375,1027000,954375,939000,883000,957500,0.5925,0.68,0.5375,0.415,0.3925,0.5325,23.6175,63.265,107.8175,6.2425,3.035,1.175,15500,15400,15875,16200,16800,16687.5,0,0,0,0,0,0,5075,3455,3283.75,3134.5,3295,4225,22500,23000,31250,31000,25000,25000,0,0,0,0,0,0,0,1,1
Central/NE Hawd Pastoral,Pastoral,2016,Gu,2.6,61.5,0.7,167,58.62222222,0,3333500,2.5,2.5,1135000,0.2225,1.125,18500,0,19500,25000,2400250,2377250,2571187.5,2575187.5,2546000,2561687.5,4,3,0.5,3,4,1,2,2.5,1,2,1,1,1188750,1193750,1203750,1202500,1219000,1216875,0.28,0.3225,0.2725,0.225,0.2375,0.2725,1.82,64.075,53.3175,3.39,0.9675,1.205,18500,18500,18500,18125,17700,17500,0,0,0,0,0,0,14750,16200,16500,16500,15800,14125,25000,28750,43750,35000,26500,21250,0,0,0,0,0,0,0,0,1
