livelihood_zone_corrected,months,year,year_month,month,livelihood_system,cdi,cmb,conflict_fatalities,conflict_incidents,goat_price,maize_price,ndvi,rainfall,rice_price,river_level,sorghum_price,water_price
Addun Pastoral,January,2015,2015-01,Jan,Pastoral,0.724,3202500,3.25,6,1054375,16000,0.244,1.61,17375,,14000,21875
Addun Pastoral,February,2015,2015-02,Feb,Pastoral,0.672,3474333.333,14,7.333333333,1020000,14666.66667,0.214,0.73,17187.5,,15250,23750
Addun Pastoral,March,2015,2015-03,Mar,Pastoral,0.726,3149533.333,5,5,1138000,14666.66667,0.236,13.802,17250,,13500,27250
Addun Pastoral,April,2015,2015-04,Apr,Pastoral,1.376,3149666.667,5.5,3.5,1112500,14666.66667,0.316,56.932,17125,,13500,23125
Addun Pastoral,May,2015,2015-05,May,Pastoral,1.364,2926500,13.5,3,1118125,15333.33333,0.376,37.892,17250,,12250,21250
Addun Pastoral,June,2015,2015-06,Jun,Pastoral,1.228,2900400,2.666666667,3.333333333,1128750,15200,0.3,1.804,17125,,12300,21250
Addun Pastoral,July,2015,2015-07,Jul,Pastoral,0.988,2984666.667,3,4,1096750,15000,0.228,2.588,17550,,13200,21750
Addun Pastoral,August,2015,2015-08,Aug,Pastoral,1.016,3113533.333,5.666666667,3.666666667,1107500,14400,0.216,1.008,17250,,12825,21250
Addun Pastoral,September,2015,2015-09,Sep,Pastoral,0.96,3138000,0,1,1125000,14333.33333,0.236,2.42,17250,,13750,21250
Addun Pastoral,October,2015,2015-10,Oct,Pastoral,1.03,3121750,2.5,2.75,1185625,14666.66667,0.36,90.126,17250,,14250,21250
Addun Pastoral,November,2015,2015-11,Nov,Pastoral,1.236,3124750,24,5,1191875,14666.66667,0.436,21.56,17250,,14000,21250
Addun Pastoral,December,2015,2015-12,Dec,Pastoral,1.148,3130083.333,10,4.333333333,1110000,14666.66667,0.372,2,17125,,13750,21250
Addun Pastoral,January,2016,2016-01,Jan,Pastoral,0.998,3094458.333,5.333333333,3,1073750,14666.66667,0.29,1.61,17125,,13875,23750
Addun Pastoral,February,2016,2016-02,Feb,Pastoral,0.912,3279733.333,11.25,1.5,966000,14666.66667,0.25,0.738,17450,,15800,23750
Addun Pastoral,March,2016,2016-03,Mar,Pastoral,0.898,3304000,15,5,1018750,14000,0.236,4.846,16750,,16000,23750
Addun Pastoral,April,2016,2016-04,Apr,Pastoral,0.596,3289583.333,25.75,4,1111875,13333.33333,0.272,42.272,16875,,17000,25625
Addun Pastoral,May,2016,2016-05,May,Pastoral,0.568,3241916.667,9.25,5,1165625,13333.33333,0.314,63.03,16650,,17250,23750
Addun Pastoral,June,2016,2016-06,Jun,Pastoral,0.614,3258166.667,12,4.75,1170625,13333.33333,0.272,1.868,17000,,15875,23750
Addun Pastoral,July,2016,2016-07,Jul,Pastoral,0.618,3442083.333,5.666666667,3,1122500,15000,0.22,2.212,17812.5,,16750,25000
Addun Pastoral,August,2016,2016-08,Aug,Pastoral,0.572,3423683.333,24,3,1087500,15000,0.214,0.982,18800,,17000,26875
Addun Pastoral,September,2016,2016-09,Sep,Pastoral,0.59,3379791.667,29,7,1233333.333,16666.66667,0.222,1.926,18666.66667,,13333.33333,21666.66667
Addun Pastoral,October,2016,2016-10,Oct,Pastoral,0.498,3390083.333,30.25,9.5,1239333.333,17333.33333,0.278,16.28,19733.33333,,13333.33333,21666.66667
Addun Pastoral,November,2016,2016-11,Nov,Pastoral,0.34,3781154.167,37.75,8,1226666.667,17833.33333,0.296,4.088,21666.66667,,15583.33333,21666.66667
Addun Pastoral,December,2016,2016-12,Dec,Pastoral,0.286,3743445.833,7.333333333,6.333333333,825625,18000,0.254,1.836,21250,,18187.5,28750
Addun Pastoral,January,2017,2017-01,Jan,Pastoral,0.248,3971920.833,1,4,825000,19600,0.228,1.544,18050,,18666.66667,31250
Addun Pastoral,February,2017,2017-02,Feb,Pastoral,0.3,4287229.167,15,11,833750,22000,0.22,0.724,21312.5,,19437.5,28750
Addun Pastoral,March,2017,2017-03,Mar,Pastoral,0.296,4352666.667,2.333333333,4,885625,20000,0.21,5.188,19562.5,,20875,22500
Addun Pastoral,April,2017,2017-04,Apr,Pastoral,0.29,4352750,3.5,6,930000,19333.33333,0.23,15.418,18375,,20500,22916.66667
Addun Pastoral,May,2017,2017-05,May,Pastoral,0.386,4720500,12.5,6.25,1005625,24666.66667,0.27,41.55,19750,,24250,18333.33333
Addun Pastoral,June,2017,2017-06,Jun,Pastoral,0.44,4225166.667,8,5.666666667,1018750,19333.33333,0.242,1.538,18250,,20437.5,15666.66667
Addun Pastoral,July,2017,2017-07,Jul,Pastoral,0.5,4021833.333,15.33333333,9.666666667,826875,18666.66667,0.2,2.864,18250,,19812.5,15666.66667
Addun Pastoral,August,2017,2017-08,Aug,Pastoral,0.684,4023250,20.33333333,8.333333333,1042062.5,18666.66667,0.194,0.998,19875,,18812.5,16333.33333
Addun Pastoral,September,2017,2017-09,Sep,Pastoral,0.764,4178583.333,16,9.333333333,1095000,20000,0.208,3.062,19250,,20250,16333.33333
Addun Pastoral,October,2017,2017-10,Oct,Pastoral,0.818,4278500,18,8,1067250,21333.33333,0.27,35.704,19250,,20600,16666.66667
Addun Pastoral,November,2017,2017-11,Nov,Pastoral,0.834,4281500,3.333333333,2.333333333,1243750,20000,0.314,41.734,19375,,20750,15333.33333
Addun Pastoral,December,2017,2017-12,Dec,Pastoral,0.842,3693166.667,10.5,5,1098125,17333.33333,0.276,1.538,19500,,16500,18333.33333
Addun Pastoral,January,2018,2018-01,Jan,Pastoral,0.87,3870166.667,1,2,1357500,19000,0.228,1.604,19500,,18400,18333.33333
Addun Pastoral,February,2018,2018-02,Feb,Pastoral,0.732,3550166.667,6,4.25,1360937.5,19000,0.208,0.73,18437.5,,18250,18333.33333
Addun Pastoral,March,2018,2018-03,Mar,Pastoral,0.754,3543500,2.333333333,2.666666667,1403437.5,19000,0.218,7.376,18812.5,,18500,18333.33333
Addun Pastoral,April,2018,2018-04,Apr,Pastoral,1.498,3449250,11,5,1373250,14583.33333,0.296,68.454,19350,,18000,18333.33333
Addun Pastoral,May,2018,2018-05,May,Pastoral,2.242,3575583.333,2.666666667,1.666666667,1424687.5,16000,0.342,56.698,20250,,18000,16666.66667
Addun Pastoral,June,2018,2018-06,Jun,Pastoral,2.418,3555500,3,3,1475937.5,16000,0.286,1.46,20625,,17625,16666.66667
Addun Pastoral,July,2018,2018-07,Jul,Pastoral,2.062,3562500,4,6,1510250,16000,0.232,2.226,20750,,17900,16666.66667
Addun Pastoral,August,2018,2018-08,Aug,Pastoral,1.6,3682500,2.333333333,1.666666667,1405000,16000,0.22,0.908,20250,,17500,17333.33333
Addun Pastoral,September,2018,2018-09,Sep,Pastoral,1.574,3424166.667,8,3.666666667,1716250,14666.66667,0.242,4.682,22125,,16312.5,18000
Addun Pastoral,October,2018,2018-10,Oct,Pastoral,1.28,3430833.333,2.333333333,2.333333333,1629000,14666.66667,0.296,20.51,20950,,16350,18000
Addun Pastoral,November,2018,2018-11,Nov,Pastoral,0.664,3445416.667,4.5,5.25,1783437.5,14666.66667,0.31,5.124,20875,,16375,18250
Addun Pastoral,December,2018,2018-12,Dec,Pastoral,0.618,3418750,1,2,1719375,14666.66667,0.258,3.55,21000,,16250,18250
Addun Pastoral,January,2019,2019-01,Jan,Pastoral,0.65,3447166.667,1,1.5,1475625,16000,0.224,1.766,20562.5,,17000,19000
Addun Pastoral,February,2019,2019-02,Feb,Pastoral,0.668,3448500,3,4.8,1469687.5,16000,0.218,0.696,20375,,16875,19000
Addun Pastoral,March,2019,2019-03,Mar,Pastoral,0.634,3465500,8,4.333333333,1558750,14666.66667,0.212,6.364,20250,,16875,20000
Addun Pastoral,April,2019,2019-04,Apr,Pastoral,0.37,3465500,0,1,1657500,14750,0.244,11.644,20200,,17300,20000
Addun Pastoral,May,2019,2019-05,May,Pastoral,0.992,3480500,7.25,4.25,1682500,14000,0.31,82.074,21200,,17300,20000
Addun Pastoral,June,2019,2019-06,Jun,Pastoral,1.232,3417166.667,11.75,2.75,1546875,14000,0.274,3.198,21375,,16375,20000
Addun Pastoral,July,2019,2019-07,Jul,Pastoral,1.338,3462000,5.5,2.75,2531879,14666.66667,0.22,2.238,21625,,16500,20000
Addun Pastoral,August,2019,2019-08,Aug,Pastoral,1.178,3475333.333,2,3.666666667,1642500,14666.66667,0.202,0.918,22187.5,,16750,20000
Addun Pastoral,September,2019,2019-09,Sep,Pastoral,0.93,3615333.333,3.5,4,1786250,14666.66667,0.222,1.78,22687.5,,17375,23333.33333
Addun Pastoral,October,2019,2019-10,Oct,Pastoral,1.894,3544000,1.333333333,3,1790000,14666.66667,0.326,64.194,22187.5,,17250,20000
Addun Pastoral,November,2019,2019-11,Nov,Pastoral,2.832,3530666.667,2.5,2.75,1819375,14666.66667,0.384,61.74,21875,,17500,20000
Addun Pastoral,December,2019,2019-12,Dec,Pastoral,2.838,3494333.333,17,5.5,1573300,14333.33333,0.406,7.476,21600,,16825,20000
Addun Pastoral,January,2020,2020-01,Jan,Pastoral,2.646,3521000,2,3.75,1621875,14333.33333,0.356,1.644,21750,,16625,20000
Addun Pastoral,February,2020,2020-02,Feb,Pastoral,2.478,3435333.333,8,3.333333333,1671250,14333.33333,0.27,0.878,21937.5,,16625,21666.66667
Addun Pastoral,March,2020,2020-03,Mar,Pastoral,4.096,3430000,3,3.25,1666666.667,14333.33333,0.29,21.62,21333.33333,,14166.66667,21666.66667
Addun Pastoral,April,2020,2020-04,Apr,Pastoral,3.904,3649708.333,1.5,2,2016875,14333.33333,0.368,73.03,23875,,17300,27333.33333
Addun Pastoral,May,2020,2020-05,May,Pastoral,2.116,3652333.333,13.25,8,1985625,14666.66667,0.42,42.276,23750,,16750,28166.66667
Addun Pastoral,June,2020,2020-06,Jun,Pastoral,1.882,3629866.667,4.25,3.25,1928750,14666.66667,0.324,1.46,22600,,16600,27400
Addun Pastoral,July,2020,2020-07,Jul,Pastoral,2.006,3647416.667,3,3.333333333,1956250.25,14666.66667,0.25,4.928,22125,,17125,25333.33333
Addun Pastoral,August,2020,2020-08,Aug,Pastoral,1.966,3634900,10.5,2.5,2025937.5,14266.66667,0.24,1.01,22000,,17225,25333.33333
Addun Pastoral,September,2020,2020-09,Sep,Pastoral,1.298,3603833.333,12.33333333,5.666666667,1967812.5,14000,0.26,1.91,22000,,17000,25333.33333
Addun Pastoral,October,2020,2020-10,Oct,Pastoral,1.612,3610333.333,2,5.333333333,2025000,14000,0.36,64.678,20700,,13166.66667,25333.33333
Addun Pastoral,November,2020,2020-11,Nov,Pastoral,1.566,3549375,8.666666667,8.333333333,2067500,14333.33333,0.402,5.952,22700,,17600,21000
Addun Pastoral,December,2020,2020-12,Dec,Pastoral,1.322,3605541.667,13.5,5,2161875,14750,0.33,1.808,22812.5,,12666.66667,21666.66667
