livelihood_zone_corrected,livelihood_system,year,season,debt_level,herd_size,crop_production
Addun Pastoral,Pastoral,2016,Deyr,345.7142857,44,0
Bay Agropastoral,Agropastoral,2016,Deyr,44.43201174,13.28571429,7082
Central/NE Hawd Pastoral,Pastoral,2016,Deyr,316.0294118,52,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2016,Deyr,241,0,0
Gedo Pastoral,Pastoral,2016,Deyr,43.5129239,36.24,0
Gedo Riverine,Riverine,2016,Deyr,60.43227492,0,1766
Guban Pastoral,Pastoral,2016,Deyr,124.0833333,23.91666667,0
NE Northern Inland Pastoral,Pastoral,2016,Deyr,119.0064103,42.03125,0
NW Agropastoral,Agropastoral,2016,Deyr,233.7179487,7,37515
NW Hawd Pastoral,Pastoral,2016,Deyr,353.3333333,39.4375,0
NW Northern Inland Pastoral,Pastoral,2016,Deyr,252.0930233,23.69767442,0
Shabelle Agropastoral,Agropastoral,2016,Deyr,191.648714,35,4726
Shabelle Riverine,Riverine,2016,Deyr,191.648714,0,13756
West Golis Pastoral,Pastoral,2016,Deyr,142.9166667,33.625,0
Addun Pastoral,Pastoral,2016,Gu,160,52.14285714,0
Bay Agropastoral,Agropastoral,2016,Gu,49,15.92857143,17173
Central/NE Hawd Pastoral,Pastoral,2016,Gu,167,58.62222222,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2016,Gu,241,0,0
Gedo Pastoral,Pastoral,2016,Gu,70,47,0
Gedo Riverine,Riverine,2016,Gu,104,0,3100
Guban Pastoral,Pastoral,2016,Gu,133,29.57894737,0
NE Northern Inland Pastoral,Pastoral,2016,Gu,339,56.34146341,0
NW Agropastoral,Agropastoral,2016,Gu,508.1034483,23.5,37515
NW Hawd Pastoral,Pastoral,2016,Gu,150,54,0
NW Northern Inland Pastoral,Pastoral,2016,Gu,364,48.02380952,0
Shabelle Agropastoral,Agropastoral,2016,Gu,78.61554622,31.11764706,17932.2
Shabelle Riverine,Riverine,2016,Gu,78.61554622,0,22798
West Golis Pastoral,Pastoral,2016,Gu,100,50.4375,0
Addun Pastoral,Pastoral,2017,Deyr,650,22.58333333,0
Bay Agropastoral,Agropastoral,2017,Deyr,124.7912281,8.266666667,26836.25
Central/NE Hawd Pastoral,Pastoral,2017,Deyr,762.2093023,30.74418605,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2017,Deyr,241,0,0
East Golis Pastoral,Pastoral,2017,Deyr,653.3333333,27.3030303,0
Gedo Pastoral,Pastoral,2017,Deyr,112.5,36.05,0
Gedo Riverine,Riverine,2017,Deyr,104,0,2801
Guban Pastoral,Pastoral,2017,Deyr,184.5,16.25,0
NE Northern Inland Pastoral,Pastoral,2017,Deyr,513.2608696,28.26086957,0
NW Agropastoral,Agropastoral,2017,Deyr,689.2857143,23.5,15949.97
NW Hawd Pastoral,Pastoral,2017,Deyr,882.8571429,14.80952381,0
NW Northern Inland Pastoral,Pastoral,2017,Deyr,1147.391304,12.58695652,0
Shabelle Agropastoral,Agropastoral,2017,Deyr,206.6666667,28.875,15640
Shabelle Riverine,Riverine,2017,Deyr,206.6666667,0,20250
West Golis Pastoral,Pastoral,2017,Deyr,162.1052632,28.10526316,0
Addun Pastoral,Pastoral,2017,Gu,462.502009,24.85714286,0
Bay Agropastoral,Agropastoral,2017,Gu,123.3712241,7.735294118,22687.5
Central/NE Hawd Pastoral,Pastoral,2017,Gu,575.483871,28.875,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2017,Gu,241,0,0
East Golis Pastoral,Pastoral,2017,Gu,818.3333333,28.03333333,0
Gedo Pastoral,Pastoral,2017,Gu,110.5,30.4,0
Gedo Riverine,Riverine,2017,Gu,145,0,3135
Guban Pastoral,Pastoral,2017,Gu,153.75,26.625,0
NE Northern Inland Pastoral,Pastoral,2017,Gu,765.25,26.775,0
NW Agropastoral,Agropastoral,2017,Gu,502.9411765,23.5,15949.97
NW Hawd Pastoral,Pastoral,2017,Gu,1066.097561,15.90243902,0
NW Northern Inland Pastoral,Pastoral,2017,Gu,1302.12766,10.17021277,0
Shabelle Agropastoral,Agropastoral,2017,Gu,74.64285714,26.85714286,7410
Shabelle Riverine,Riverine,2017,Gu,74.64285714,0,27642
West Golis Pastoral,Pastoral,2017,Gu,129.6428571,37.5,0
Addun Pastoral,Pastoral,2018,Deyr,442.1052632,39.7,0
Bay Agropastoral,Agropastoral,2018,Deyr,83.96926035,12.7,24885
Central/NE Hawd Pastoral,Pastoral,2018,Deyr,463.3829787,43.04166667,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2018,Deyr,241,0,0
East Golis Pastoral,Pastoral,2018,Deyr,546.5384615,34.69230769,0
Gedo Pastoral,Pastoral,2018,Deyr,84.5,45.25,0
Gedo Riverine,Riverine,2018,Deyr,78,0,2840
Guban Pastoral,Pastoral,2018,Deyr,184,14.45,0
NE Northern Inland Pastoral,Pastoral,2018,Deyr,450.1785714,36.64285714,0
NW Agropastoral,Agropastoral,2018,Deyr,450,23.5,11039.95
NW Hawd Pastoral,Pastoral,2018,Deyr,245.8,25.8,0
NW Northern Inland Pastoral,Pastoral,2018,Deyr,540.2325581,32.48837209,0
Shabelle Agropastoral,Agropastoral,2018,Deyr,33.7968,34.6,14381.5
Shabelle Riverine,Riverine,2018,Deyr,33.7968,0,19895
West Golis Pastoral,Pastoral,2018,Deyr,154,34.06666667,0
Addun Pastoral,Pastoral,2018,Gu,526.6666667,31.53333333,0
Bay Agropastoral,Agropastoral,2018,Gu,100.5655806,12.16666667,45015
Central/NE Hawd Pastoral,Pastoral,2018,Gu,515.3658537,36.68292683,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2018,Gu,241,0,0
East Golis Pastoral,Pastoral,2018,Gu,560,33.76666667,0
Gedo Pastoral,Pastoral,2018,Gu,98.5,42.65,0
Gedo Riverine,Riverine,2018,Gu,74,0,1457
Guban Pastoral,Pastoral,2018,Gu,174.5833333,11.08333333,0
NE Northern Inland Pastoral,Pastoral,2018,Gu,470.2173913,30.82608696,0
NW Agropastoral,Agropastoral,2018,Gu,580,23.5,11039.95
NW Hawd Pastoral,Pastoral,2018,Gu,409.1111111,22.42222222,0
NW Northern Inland Pastoral,Pastoral,2018,Gu,603.6458333,25.4375,0
Shabelle Agropastoral,Agropastoral,2018,Gu,102.1052632,32.16666667,36182.5
Shabelle Riverine,Riverine,2018,Gu,102.1052632,0,45300
West Golis Pastoral,Pastoral,2018,Gu,149.4117647,33.76470588,0
Addun Pastoral,Pastoral,2019,Deyr,355.5555556,36.22222222,0
Bay Agropastoral,Agropastoral,2019,Deyr,89.80555556,18.08333333,41275
Central/NE Hawd Pastoral,Pastoral,2019,Deyr,357.8888889,48,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2019,Deyr,241,0,0
East Golis Pastoral,Pastoral,2019,Deyr,515.9259259,34.59259259,0
Gedo Pastoral,Pastoral,2019,Deyr,145.5,40.2,0
Gedo Riverine,Riverine,2019,Deyr,118,0,2328
Guban Pastoral,Pastoral,2019,Deyr,192.1428571,27.42857143,0
NE Northern Inland Pastoral,Pastoral,2019,Deyr,296.8269231,42.09615385,0
NW Agropastoral,Agropastoral,2019,Deyr,284.4,23.5,33760
NW Hawd Pastoral,Pastoral,2019,Deyr,262.2641509,28.01886792,0
NW Northern Inland Pastoral,Pastoral,2019,Deyr,460.3846154,35.97435897,0
Shabelle Agropastoral,Agropastoral,2019,Deyr,45.88965517,36.68965517,24041
Shabelle Riverine,Riverine,2019,Deyr,45.88965517,0,18214
West Golis Pastoral,Pastoral,2019,Deyr,235.7142857,36.95238095,0
Addun Pastoral,Pastoral,2019,Gu,388.8888889,31.44444444,0
Bay Agropastoral,Agropastoral,2019,Gu,111.6779853,14.88235294,9471.25
Central/NE Hawd Pastoral,Pastoral,2019,Gu,475.2631579,39.52631579,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2019,Gu,241,0,0
East Golis Pastoral,Pastoral,2019,Gu,638.2352941,31,0
Gedo Pastoral,Pastoral,2019,Gu,108,44.5,0
Gedo Riverine,Riverine,2019,Gu,100,0,2095
Guban Pastoral,Pastoral,2019,Gu,203.6842105,25.84210526,0
NE Northern Inland Pastoral,Pastoral,2019,Gu,578.4,35.94,0
NW Agropastoral,Agropastoral,2019,Gu,489.4736842,40,33760
NW Hawd Pastoral,Pastoral,2019,Gu,515.8163265,24.30612245,0
NW Northern Inland Pastoral,Pastoral,2019,Gu,652.0454545,30.22727273,0
Shabelle Agropastoral,Agropastoral,2019,Gu,35.03461538,43.34615385,6229
Shabelle Riverine,Riverine,2019,Gu,35.03461538,0,15705
West Golis Pastoral,Pastoral,2019,Gu,192.5,38.66666667,0
Addun Pastoral,Pastoral,2020,Deyr,400,47.11111111,0
Bay Agropastoral,Agropastoral,2020,Deyr,81.83333333,20.46666667,36237.5
Central/NE Hawd Pastoral,Pastoral,2020,Deyr,359.5,57.425,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2020,Deyr,241,0,0
East Golis Pastoral,Pastoral,2020,Deyr,523,43.96666667,0
